PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.998
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.996	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.994	0.996
0.992	0.996
0.992	0.996
0.992	0.996
0.992	0.994
0.992	0.994
0.992	0.992
0.992	0.992
0.992	0.992
0.992	0.992
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.992	0.99
0.99	0.99
0.99	0.99
0.988	0.99
0.986	0.99
0.986	0.99
0.986	0.99
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.988
0.986	0.986
0.986	0.986
0.986	0.984
0.986	0.984
0.986	0.984
0.986	0.984
0.984	0.982
0.984	0.982
