PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.98	0.98
0.96	0.98
0.96	0.98
0.96	0.98
0.96	0.98
0.96	0.98
0.96	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.94	0.98
0.92	0.98
0.92	0.98
0.9	0.98
0.9	0.96
0.9	0.96
0.9	0.96
0.9	0.96
0.88	0.96
0.88	0.96
0.86	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.82	0.96
0.82	0.94
0.82	0.94
0.82	0.94
0.78	0.94
0.78	0.92
0.78	0.92
0.78	0.9
0.78	0.9
0.76	0.9
0.76	0.9
0.74	0.88
0.74	0.88
0.74	0.88
0.72	0.88
0.7	0.88
0.7	0.86
0.7	0.86
0.68	0.86
0.68	0.86
0.68	0.84
0.68	0.84
0.68	0.84
0.68	0.84
0.68	0.84
0.68	0.82
0.64	0.82
0.64	0.82
0.64	0.82
0.64	0.82
0.64	0.82
0.64	0.8
0.62	0.8
0.62	0.8
0.62	0.8
0.62	0.8
0.62	0.8
0.6	0.78
0.6	0.78
0.6	0.74
0.54	0.74
0.54	0.74
0.52	0.74
0.48	0.74
0.48	0.74
0.42	0.72
0.42	0.72
0.42	0.7
0.42	0.7
0.42	0.68
0.42	0.68
0.42	0.68
0.4	0.66
0.38	0.66
0.38	0.64
0.36	0.64
0.34	0.62
0.32	0.6
0.3	0.6
0.3	0.6
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.3	0.56
0.28	0.56
0.28	0.56
0.28	0.56
0.28	0.56
0.28	0.56
0.24	0.54
0.22	0.54
0.22	0.54
0.2	0.54
0.2	0.52
0.2	0.52
0.18	0.5
0.18	0.5
0.18	0.48
0.16	0.46
0.14	0.46
0.14	0.46
0.14	0.46
0.14	0.46
0.14	0.46
0.14	0.46
0.14	0.44
0.14	0.44
0.14	0.44
0.14	0.44
0.14	0.4
0.12	0.38
0.12	0.38
0.12	0.38
0.12	0.38
0.12	0.38
0.12	0.38
0.12	0.34
0.12	0.34
0.12	0.32
0.12	0.3
0.1	0.3
0.08	0.3
0.06	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.04	0.3
0.02	0.3
0.02	0.3
0.02	0.3
0.02	0.28
0.02	0.28
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.02	0.26
0.0	0.26
0.0	0.26
0.0	0.26
0.0	0.24
0.0	0.24
0.0	0.24
0.0	0.24
0.0	0.24
0.0	0.24
0.0	0.24
0.0	0.22
0.0	0.22
0.0	0.2
0.0	0.2
0.0	0.2
0.0	0.2
0.0	0.2
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.18
0.0	0.16
0.0	0.16
0.0	0.16
0.0	0.14
0.0	0.14
0.0	0.14
0.0	0.14
0.0	0.14
0.0	0.14
0.0	0.12
0.0	0.12
0.0	0.12
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.08
0.0	0.08
0.0	0.08
0.0	0.08
0.0	0.08
0.0	0.08
0.0	0.08
0.0	0.06
0.0	0.04
0.0	0.04
0.0	0.04
0.0	0.04
0.0	0.04
0.0	0.04
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.0
0.0	0.0
