PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.998	1.0
0.998	1.0
0.998	1.0
0.998	0.998
0.998	0.998
0.998	0.996
0.998	0.996
0.998	0.996
0.998	0.992
0.998	0.992
0.998	0.992
0.998	0.992
0.998	0.99
0.998	0.988
0.998	0.988
0.998	0.986
0.996	0.984
0.996	0.982
0.996	0.982
0.996	0.98
0.996	0.976
0.994	0.976
0.994	0.972
0.994	0.972
0.994	0.97
0.994	0.97
0.994	0.97
0.994	0.97
0.992	0.97
0.99	0.964
0.988	0.964
0.984	0.96
0.98	0.96
0.98	0.96
0.974	0.958
0.974	0.956
0.974	0.954
0.974	0.952
0.974	0.944
0.974	0.944
0.972	0.942
0.968	0.94
0.964	0.93
0.962	0.918
0.96	0.912
0.96	0.908
0.958	0.898
0.956	0.894
0.956	0.892
0.954	0.89
0.952	0.886
0.946	0.882
0.942	0.88
0.94	0.878
0.938	0.872
0.932	0.864
0.924	0.86
0.922	0.85
0.916	0.846
0.91	0.844
0.906	0.836
0.904	0.826
0.898	0.82
0.892	0.81
0.886	0.796
0.882	0.788
0.868	0.78
0.858	0.77
0.85	0.764
0.846	0.754
0.836	0.744
0.834	0.736
0.828	0.726
0.816	0.714
0.8	0.714
0.796	0.712
0.788	0.706
0.778	0.698
0.774	0.686
0.764	0.674
0.754	0.658
0.742	0.644
0.734	0.628
0.728	0.624
0.714	0.616
0.706	0.602
0.704	0.592
0.696	0.58
0.682	0.57
0.678	0.554
0.66	0.544
0.654	0.532
0.648	0.524
0.64	0.512
0.628	0.502
0.618	0.492
0.606	0.48
0.59	0.474
0.576	0.458
0.57	0.452
0.562	0.442
0.554	0.43
0.542	0.42
0.532	0.408
0.528	0.394
0.526	0.38
0.516	0.374
0.502	0.372
0.49	0.368
0.472	0.354
0.456	0.34
0.44	0.328
0.424	0.326
0.404	0.32
0.392	0.31
0.384	0.302
0.38	0.288
0.372	0.278
0.364	0.268
0.35	0.262
0.344	0.25
0.338	0.236
0.33	0.224
0.322	0.218
0.31	0.202
0.294	0.194
0.292	0.19
0.286	0.184
0.282	0.18
0.274	0.174
0.256	0.17
0.244	0.168
0.238	0.158
0.23	0.15
0.222	0.14
0.21	0.136
0.206	0.124
0.192	0.118
0.186	0.116
0.18	0.114
0.176	0.114
0.164	0.108
0.154	0.104
0.148	0.098
0.134	0.088
0.126	0.086
0.12	0.074
0.114	0.074
0.108	0.072
0.104	0.07
0.098	0.07
0.092	0.064
0.092	0.06
0.088	0.06
0.084	0.06
0.082	0.056
0.078	0.054
0.074	0.052
0.072	0.046
0.07	0.042
0.07	0.034
0.066	0.032
0.06	0.03
0.058	0.026
0.056	0.026
0.05	0.024
0.046	0.022
0.044	0.022
0.044	0.022
0.042	0.02
0.042	0.02
0.038	0.02
0.038	0.018
0.038	0.018
0.036	0.016
0.03	0.014
0.03	0.012
0.028	0.012
0.026	0.012
0.026	0.01
0.022	0.01
0.022	0.008
0.022	0.008
0.022	0.008
0.02	0.008
0.02	0.008
0.018	0.006
0.018	0.004
0.018	0.004
0.014	0.004
0.012	0.002
0.01	0.002
0.01	0.002
0.01	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.002
0.008	0.0
0.008	0.0
0.008	0.0
0.006	0.0
0.006	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.002	0.0
0.0	0.0
0.0	0.0
0.0	0.0
