PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.995	1.0
0.995	1.0
0.995	1.0
0.995	1.0
0.995	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.985	1.0
0.985	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.975	1.0
0.975	1.0
0.975	1.0
0.975	1.0
0.97	1.0
0.97	1.0
0.97	1.0
0.965	1.0
0.965	1.0
0.965	1.0
0.965	1.0
0.96	1.0
0.96	1.0
0.95	1.0
0.945	1.0
0.94	1.0
0.94	0.995
0.94	0.995
0.93	0.99
0.925	0.99
0.925	0.99
0.925	0.99
0.925	0.99
0.925	0.99
0.92	0.99
0.915	0.99
0.915	0.985
0.915	0.985
0.905	0.985
0.905	0.985
0.905	0.985
0.9	0.985
0.89	0.985
0.875	0.985
0.865	0.985
0.865	0.98
0.86	0.98
0.855	0.98
0.845	0.98
0.845	0.98
0.835	0.98
0.835	0.98
0.825	0.975
0.825	0.975
0.825	0.965
0.825	0.965
0.82	0.965
0.815	0.965
0.805	0.955
0.805	0.955
0.805	0.95
0.805	0.95
0.805	0.95
0.795	0.945
0.785	0.945
0.77	0.945
0.765	0.945
0.765	0.945
0.76	0.94
0.76	0.935
0.755	0.92
0.74	0.915
0.725	0.915
0.72	0.915
0.715	0.915
0.715	0.915
0.71	0.91
0.695	0.905
0.68	0.9
0.68	0.9
0.67	0.9
0.645	0.895
0.64	0.895
0.64	0.895
0.63	0.895
0.62	0.88
0.61	0.88
0.585	0.88
0.575	0.88
0.575	0.875
0.565	0.87
0.56	0.855
0.545	0.845
0.545	0.845
0.54	0.845
0.53	0.845
0.52	0.845
0.5	0.835
0.485	0.81
0.465	0.81
0.465	0.805
0.46	0.795
0.455	0.795
0.45	0.79
0.45	0.785
0.435	0.785
0.425	0.785
0.42	0.785
0.405	0.78
0.4	0.77
0.385	0.765
0.385	0.76
0.38	0.75
0.375	0.74
0.365	0.71
0.355	0.695
0.355	0.68
0.34	0.68
0.325	0.68
0.325	0.675
0.32	0.66
0.31	0.65
0.305	0.635
0.3	0.635
0.295	0.635
0.285	0.63
0.285	0.615
0.28	0.595
0.27	0.575
0.255	0.57
0.255	0.555
0.25	0.555
0.24	0.555
0.24	0.545
0.225	0.53
0.22	0.52
0.22	0.51
0.215	0.51
0.2	0.51
0.19	0.505
0.185	0.495
0.185	0.49
0.18	0.485
0.18	0.46
0.17	0.46
0.15	0.45
0.14	0.445
0.135	0.445
0.13	0.435
0.13	0.435
0.125	0.42
0.12	0.415
0.11	0.4
0.11	0.395
0.11	0.375
0.105	0.375
0.105	0.365
0.105	0.35
0.1	0.325
0.1	0.31
0.095	0.305
0.09	0.3
0.085	0.29
0.075	0.28
0.07	0.28
0.065	0.28
0.06	0.28
0.05	0.27
0.05	0.265
0.05	0.255
0.045	0.235
0.035	0.23
0.03	0.215
0.025	0.215
0.025	0.21
0.02	0.205
0.02	0.205
0.02	0.205
0.02	0.205
0.02	0.2
0.02	0.195
0.02	0.195
0.02	0.19
0.02	0.19
0.02	0.18
0.02	0.18
0.02	0.17
0.02	0.165
0.02	0.155
0.02	0.145
0.02	0.145
0.02	0.145
0.015	0.14
0.015	0.13
0.015	0.13
0.015	0.125
0.015	0.125
0.015	0.125
0.01	0.115
0.005	0.11
0.005	0.11
0.0	0.105
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.095
0.0	0.095
0.0	0.09
0.0	0.09
0.0	0.085
0.0	0.085
0.0	0.085
0.0	0.08
0.0	0.08
0.0	0.075
0.0	0.07
0.0	0.065
0.0	0.065
0.0	0.065
0.0	0.065
0.0	0.065
0.0	0.06
0.0	0.06
0.0	0.055
0.0	0.055
0.0	0.05
0.0	0.045
0.0	0.045
0.0	0.04
0.0	0.03
0.0	0.03
0.0	0.03
0.0	0.03
0.0	0.03
0.0	0.03
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.025
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.02
0.0	0.015
0.0	0.015
0.0	0.015
0.0	0.015
0.0	0.01
0.0	0.01
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.005
0.0	0.0
0.0	0.0
0.0	0.0
